"id";"name";"likes";"picture";"date"
499646073441042;"Jacek Wilk";21277;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xfp1/v/t1.0-1/p200x200/11049576_827685603970419_8562292816298500536_n.png?oh=9f0f4cff057c045623210fdf3e3d818b&oe=55B4E2EC&__gda__=1436812935_55f54480e2381c2b2d1fdde677b31ec8";"2015-04-05"
415099301976549;"Jacek Wilk na prezydenta";405;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xpf1/v/t1.0-1/p200x200/10978649_415427301943749_1686616874590974614_n.jpg?oh=ef5b92a902238ea5ce49104636885f75&oe=55B44041&__gda__=1436648359_ff2c135466114da250c5470c1196af6d";"2015-04-05"
335606443297037;"Jacek Wilk lubi to.";56;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xpf1/v/t1.0-1/c8.0.200.200/p200x200/10410960_335611149963233_4845252792138491598_n.jpg?oh=4f69ee2b4f38203b2278370993d7df23&oe=55B43890&__gda__=1437500226_51917e737a69a48e4fe1a8b0b7bf33b2";"2015-04-05"
884935904861907;"Jacek Wilk i Przemys³aw Wipler - zgoda";561;"https://scontent.xx.fbcdn.net/hprofile-xfp1/v/l/t1.0-1/c0.0.200.200/p200x200/10959469_916969658325198_5312499274526556461_n.png?oh=f301c682187998409af543e8672f6c65&oe=55A5D967";"2015-04-05"
499646073441042;"Jacek Wilk";21294;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xfp1/v/t1.0-1/p200x200/11049576_827685603970419_8562292816298500536_n.png?oh=9f0f4cff057c045623210fdf3e3d818b&oe=55B4E2EC&__gda__=1436812935_55f54480e2381c2b2d1fdde677b31ec8";"2015-04-06"
415099301976549;"Jacek Wilk na prezydenta";408;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xpf1/v/t1.0-1/p200x200/10978649_415427301943749_1686616874590974614_n.jpg?oh=ef5b92a902238ea5ce49104636885f75&oe=55B44041&__gda__=1436648359_ff2c135466114da250c5470c1196af6d";"2015-04-06"
335606443297037;"Jacek Wilk lubi to.";57;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xpf1/v/t1.0-1/c8.0.200.200/p200x200/10410960_335611149963233_4845252792138491598_n.jpg?oh=4f69ee2b4f38203b2278370993d7df23&oe=55B43890&__gda__=1437500226_51917e737a69a48e4fe1a8b0b7bf33b2";"2015-04-06"
884935904861907;"Jacek Wilk i Przemys³aw Wipler - zgoda";562;"https://scontent.xx.fbcdn.net/hprofile-xfp1/v/l/t1.0-1/c0.0.200.200/p200x200/10959469_916969658325198_5312499274526556461_n.png?oh=f301c682187998409af543e8672f6c65&oe=55A5D967";"2015-04-06"
499646073441042;"Jacek Wilk";21307;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xfp1/v/t1.0-1/p200x200/11049576_827685603970419_8562292816298500536_n.png?oh=9f0f4cff057c045623210fdf3e3d818b&oe=55B4E2EC&__gda__=1436812935_55f54480e2381c2b2d1fdde677b31ec8";"2015-04-07"
415099301976549;"Jacek Wilk na prezydenta";408;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xpf1/v/t1.0-1/p200x200/10978649_415427301943749_1686616874590974614_n.jpg?oh=ef5b92a902238ea5ce49104636885f75&oe=55B44041&__gda__=1436648359_ff2c135466114da250c5470c1196af6d";"2015-04-07"
335606443297037;"Jacek Wilk lubi to.";57;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xpf1/v/t1.0-1/c8.0.200.200/p200x200/10410960_335611149963233_4845252792138491598_n.jpg?oh=4f69ee2b4f38203b2278370993d7df23&oe=55B43890&__gda__=1437500226_51917e737a69a48e4fe1a8b0b7bf33b2";"2015-04-07"
884935904861907;"Jacek Wilk i Przemys³aw Wipler - zgoda";563;"https://scontent.xx.fbcdn.net/hprofile-xfp1/v/l/t1.0-1/c0.0.200.200/p200x200/10959469_916969658325198_5312499274526556461_n.png?oh=f301c682187998409af543e8672f6c65&oe=55A5D967";"2015-04-07"
499646073441042;"Jacek Wilk";21313;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xfp1/v/t1.0-1/p200x200/11049576_827685603970419_8562292816298500536_n.png?oh=9f0f4cff057c045623210fdf3e3d818b&oe=55B4E2EC&__gda__=1436812935_55f54480e2381c2b2d1fdde677b31ec8";"2015-04-08"
415099301976549;"Jacek Wilk na prezydenta";408;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xpf1/v/t1.0-1/p200x200/10978649_415427301943749_1686616874590974614_n.jpg?oh=ef5b92a902238ea5ce49104636885f75&oe=55B44041&__gda__=1436648359_ff2c135466114da250c5470c1196af6d";"2015-04-08"
335606443297037;"Jacek Wilk lubi to.";57;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xpf1/v/t1.0-1/c8.0.200.200/p200x200/10410960_335611149963233_4845252792138491598_n.jpg?oh=4f69ee2b4f38203b2278370993d7df23&oe=55B43890&__gda__=1437500226_51917e737a69a48e4fe1a8b0b7bf33b2";"2015-04-08"
884935904861907;"Jacek Wilk i Przemys³aw Wipler - zgoda";564;"https://scontent.xx.fbcdn.net/hprofile-xfp1/v/l/t1.0-1/c0.0.200.200/p200x200/10959469_916969658325198_5312499274526556461_n.png?oh=f301c682187998409af543e8672f6c65&oe=55A5D967";"2015-04-08"
499646073441042;"Jacek Wilk";21332;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xfp1/v/t1.0-1/p200x200/11049576_827685603970419_8562292816298500536_n.png?oh=9f0f4cff057c045623210fdf3e3d818b&oe=55B4E2EC&__gda__=1436812935_55f54480e2381c2b2d1fdde677b31ec8";"2015-04-10"
415099301976549;"Jacek Wilk na prezydenta";410;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xpf1/v/t1.0-1/p200x200/10978649_415427301943749_1686616874590974614_n.jpg?oh=ef5b92a902238ea5ce49104636885f75&oe=55B44041&__gda__=1436648359_ff2c135466114da250c5470c1196af6d";"2015-04-10"
335606443297037;"Jacek Wilk lubi to.";58;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xpf1/v/t1.0-1/c8.0.200.200/p200x200/10410960_335611149963233_4845252792138491598_n.jpg?oh=4f69ee2b4f38203b2278370993d7df23&oe=55B43890&__gda__=1437500226_51917e737a69a48e4fe1a8b0b7bf33b2";"2015-04-10"
884935904861907;"Jacek Wilk i Przemys³aw Wipler - zgoda";567;"https://scontent.xx.fbcdn.net/hprofile-xfp1/v/l/t1.0-1/c0.0.200.200/p200x200/10959469_916969658325198_5312499274526556461_n.png?oh=f301c682187998409af543e8672f6c65&oe=55A5D967";"2015-04-10"
499646073441042;"Jacek Wilk";21316;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xfp1/v/t1.0-1/p200x200/11049576_827685603970419_8562292816298500536_n.png?oh=9f0f4cff057c045623210fdf3e3d818b&oe=55B4E2EC&__gda__=1436812935_55f54480e2381c2b2d1fdde677b31ec8";"2015-04-11"
415099301976549;"Jacek Wilk na prezydenta";411;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xpf1/v/t1.0-1/p200x200/10978649_415427301943749_1686616874590974614_n.jpg?oh=ef5b92a902238ea5ce49104636885f75&oe=55B44041&__gda__=1436648359_ff2c135466114da250c5470c1196af6d";"2015-04-11"
335606443297037;"Jacek Wilk lubi to.";58;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xpf1/v/t1.0-1/c8.0.200.200/p200x200/10410960_335611149963233_4845252792138491598_n.jpg?oh=4f69ee2b4f38203b2278370993d7df23&oe=55B43890&__gda__=1437500226_51917e737a69a48e4fe1a8b0b7bf33b2";"2015-04-11"
884935904861907;"Jacek Wilk i Przemys³aw Wipler - zgoda";568;"https://scontent.xx.fbcdn.net/hprofile-xfp1/v/l/t1.0-1/c0.0.200.200/p200x200/10959469_916969658325198_5312499274526556461_n.png?oh=f301c682187998409af543e8672f6c65&oe=55A5D967";"2015-04-11"
499646073441042;"Jacek Wilk";21304;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xfp1/v/t1.0-1/p200x200/11049576_827685603970419_8562292816298500536_n.png?oh=ccd2729fd2d23743bf124a05ee653420&oe=55DC6FEC&__gda__=1436812935_c20196e45ea567148c7f8b5f62e8224f";"2015-04-12"
415099301976549;"Jacek Wilk na prezydenta";414;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xpf1/v/t1.0-1/p200x200/10978649_415427301943749_1686616874590974614_n.jpg?oh=ef5b92a902238ea5ce49104636885f75&oe=55B44041&__gda__=1436648359_ff2c135466114da250c5470c1196af6d";"2015-04-12"
335606443297037;"Jacek Wilk lubi to.";59;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xpf1/v/t1.0-1/c8.0.200.200/p200x200/10410960_335611149963233_4845252792138491598_n.jpg?oh=4f69ee2b4f38203b2278370993d7df23&oe=55B43890&__gda__=1437500226_51917e737a69a48e4fe1a8b0b7bf33b2";"2015-04-12"
884935904861907;"Jacek Wilk i Przemys³aw Wipler - zgoda";569;"https://scontent.xx.fbcdn.net/hprofile-xfp1/v/l/t1.0-1/c0.0.200.200/p200x200/10959469_916969658325198_5312499274526556461_n.png?oh=f301c682187998409af543e8672f6c65&oe=55A5D967";"2015-04-12"
499646073441042;"Jacek Wilk";21295;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xfp1/v/t1.0-1/p200x200/11049576_827685603970419_8562292816298500536_n.png?oh=ccd2729fd2d23743bf124a05ee653420&oe=55DC6FEC&__gda__=1436812935_c20196e45ea567148c7f8b5f62e8224f";"2015-04-13"
415099301976549;"Jacek Wilk na prezydenta";414;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xpf1/v/t1.0-1/p200x200/10978649_415427301943749_1686616874590974614_n.jpg?oh=813c62d82c209977edeef762629134f4&oe=55DBCD41&__gda__=1436648359_8dafff600273e45dd280666ca8758a15";"2015-04-13"
335606443297037;"Jacek Wilk lubi to.";61;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xpf1/v/t1.0-1/c8.0.200.200/p200x200/10410960_335611149963233_4845252792138491598_n.jpg?oh=499396a2cb3d185bd9077e521acf0aae&oe=55DBC590&__gda__=1437500226_0e5c0620ac34472d3538b19f3b2aa423";"2015-04-13"
884935904861907;"Jacek Wilk i Przemys³aw Wipler - zgoda";569;"https://scontent.xx.fbcdn.net/hprofile-xfp1/v/l/t1.0-1/c0.0.200.200/p200x200/10959469_916969658325198_5312499274526556461_n.png?oh=f301c682187998409af543e8672f6c65&oe=55A5D967";"2015-04-13"
499646073441042;"Jacek Wilk";21289;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xfp1/v/t1.0-1/p200x200/11049576_827685603970419_8562292816298500536_n.png?oh=ccd2729fd2d23743bf124a05ee653420&oe=55DC6FEC&__gda__=1436812935_c20196e45ea567148c7f8b5f62e8224f";"2015-04-14"
