"id";"name";"likes";"picture";"date"
328170794051845;"Prezydent Kukiz";13780;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xpt1/v/t1.0-1/c257.0.549.549/s200x200/10157133_341695606032697_2111020008533731519_n.jpg?oh=05197523150e50fa93df8d35a7f41cda&oe=557A8995&__gda__=1434526458_bf54f1d062b3780dfe05802aceec821f";"2015-03-18"
838077856255619;"Kukiz Prezydentem";10;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xpa1/v/t1.0-1/c0.0.193.193/10959409_838078459588892_3541030191770178550_n.jpg?oh=14813ac1d08e4aed269dd0eee6b6eea5&oe=55BA4867&__gda__=1438535204_c9d9077a6be016f2bdb243d968b80ae6";"2015-03-18"
749808495126104;"Pawe³ Kukiz - Prezydent";23;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xpf1/v/t1.0-1/c50.0.200.200/p200x200/10532362_749808678459419_1269583108925424323_n.jpg?oh=639e79dc6cb908c3fd3516cecdbd7b63&oe=5580058C&__gda__=1433751884_0ba43c5345819ca9462e7c721b050ead";"2015-03-18"
1559380707648545;"Zwolennicy Paw³a Kukiza - Oœwiêcim i okolice";70;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xpf1/v/t1.0-1/c0.0.200.200/p200x200/1514982_1559409464312336_7667885155057376370_n.jpg?oh=70c9692528f31e0ad391899563f08938&oe=5573454D&__gda__=1437925023_542290fd2795d10fdd0d1ca02b8a2bcf";"2015-03-18"
536949806446858;"Ca³a Polska g³osuje na Kukiza";1;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xpf1/v/t1.0-1/c91.0.200.200/p200x200/10987346_540812362727269_8504043120731602573_n.jpg?oh=6dc39fc34744090e025664aefba86aac&oe=55768088&__gda__=1433798216_30290c0e7599de940f36238bc0323755";"2015-03-18"
328170794051845;"Prezydent Kukiz";15328;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xpt1/v/t1.0-1/c257.0.549.549/s200x200/10157133_341695606032697_2111020008533731519_n.jpg?oh=05197523150e50fa93df8d35a7f41cda&oe=557A8995&__gda__=1434526458_bf54f1d062b3780dfe05802aceec821f";"2015-03-19"
838077856255619;"Kukiz Prezydentem";10;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xpa1/v/t1.0-1/c0.0.193.193/10959409_838078459588892_3541030191770178550_n.jpg?oh=14813ac1d08e4aed269dd0eee6b6eea5&oe=55BA4867&__gda__=1438535204_c9d9077a6be016f2bdb243d968b80ae6";"2015-03-19"
749808495126104;"Pawe³ Kukiz - Prezydent";23;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xpf1/v/t1.0-1/c50.0.200.200/p200x200/10532362_749808678459419_1269583108925424323_n.jpg?oh=639e79dc6cb908c3fd3516cecdbd7b63&oe=5580058C&__gda__=1433751884_0ba43c5345819ca9462e7c721b050ead";"2015-03-19"
1559380707648545;"Zwolennicy Paw³a Kukiza - Oœwiêcim i okolice";73;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xpf1/v/t1.0-1/c0.0.200.200/p200x200/1514982_1559409464312336_7667885155057376370_n.jpg?oh=70c9692528f31e0ad391899563f08938&oe=5573454D&__gda__=1437925023_542290fd2795d10fdd0d1ca02b8a2bcf";"2015-03-19"
536949806446858;"Ca³a Polska g³osuje na Kukiza";1;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xpf1/v/t1.0-1/c91.0.200.200/p200x200/10987346_540812362727269_8504043120731602573_n.jpg?oh=6dc39fc34744090e025664aefba86aac&oe=55768088&__gda__=1433798216_30290c0e7599de940f36238bc0323755";"2015-03-19"
328170794051845;"Prezydent Kukiz";18143;"https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xpt1/v/t1.0-1/c257.0.549.549/s200x200/10157133_341695606032697_2111020008533731519_n.jpg?oh=05197523150e50fa93df8d35a7f41cda&oe=557A8995&__gda__=1434526458_bf54f1d062b3780dfe05802aceec821f";"2015-03-20"
